species,family
Akkermansia_muciniphila,Akkermansiaceae
Faecalibacterium_prausnitzii,Oscillospiraceae
Alistipes_indistinctus,Rikenellaceae
Alistipes_putredinis,Rikenellaceae
Bacteroides_ovatus,Bacteroidaceae
Bacteroides_cellulosilyticus,Bacteroidaceae
Bacteroides_stercoris,Bacteroidaceae
Bifidobacterium_adolescentis,Bifidobacteriaceae
Odoribacter_splanchnicus,Odoribacteraceae
Eubacterium_siraeum,Oscillospiraceae
Parabacteroides_merdae,Tannerellaceae
Prevotella_stercorea,Prevotellaceae
Bacteroides_caccae,Bacteroidaceae
Bacteroides_fragilis,Bacteroidaceae
Bacteroidales_bacterium_ph8,Rikenellaceae
Ruminococcus_torques,Lachnospiraceae
Alistipes_onderdonkii,Rikenellaceae
Catenibacterium_mitsuokai,Coprobacillaceae
Butyricimonas_synergistica,Odoribacteraceae
Bacteroides_thetaiotaomicron,Bacteroidaceae
Collinsella_aerofaciens,Coriobacteriaceae
Bacteroides_massiliensis,Bacteroidaceae
Parasutterella_excrementihominis,Sutterellaceae
Ruminococcus_obeum,Lachnospiraceae
Bifidobacterium_bifidum,Bifidobacteriaceae
Dorea_formicigenerans,Lachnospiraceae
Alistipes_shahii,Rikenellaceae
Alistipes_finegoldii,Rikenellaceae
Bacteroides_uniformis,Bacteroidaceae
Coprococcus_comes,Lachnospiraceae
Bacteroides_xylanisolvens,Bacteroidaceae
Methanobrevibacter_smithii,Methanobacteriaceae
Streptococcus_salivarius,Streptococcaceae
Eubacterium_hallii,Lachnospiraceae
Escherichia_coli,Enterobacteriaceae
Bacteroides_nordii,Bacteroidaceae
Parabacteroides_goldsteinii,Tannerellaceae
Coprococcus_catus,Lachnospiraceae
Bifidobacterium_longum,Bifidobacteriaceae
Dorea_longicatena,Lachnospiraceae
Bacteroides_faecis,Bacteroidaceae
Bilophila_wadsworthia,Desulfovibrionaceae
Alistipes_senegalensis,Rikenellaceae
Desulfovibrio_desulfuricans,Desulfovibrionaceae
Clostridium_leptum,Oscillospiraceae
Eubacterium_ramulus,Eubacteriaceae
Eubacterium_eligens,Lachnospiraceae
Pyramidobacter_piscolens,Dethiosulfovibrionaceae
Bacteroides_intestinalis,Bacteroidaceae
Bifidobacterium_pseudocatenulatum,Bifidobacteriaceae
Adlercreutzia_equolifaciens,Eggerthellaceae
Roseburia_hominis,Lachnospiraceae
Roseburia_inulinivorans,Lachnospiraceae
Holdemania_filiformis,Erysipelotrichaceae
Anaerotruncus_colihominis,Oscillospiraceae
Anaerostipes_hadrus,Lachnospiraceae
Streptococcus_parasanguinis,Streptococcaceae
Parabacteroides_distasonis,Tannerellaceae
Ruminococcus_flavefaciens,Oscillospiraceae
Ruminococcus_gnavus,Lachnospiraceae
Clostridium_asparagiforme,Lachnospiraceae
Clostridium_citroniae,Lachnospiraceae
Oxalobacter_formigenes,Oxalobacteraceae
Klebsiella_pneumoniae,Klebsiella
Clostridium_innocuum,Clostridiaceae
Haemophilus_parainfluenzae,Pasteurellaceae
Clostridium_bolteae,Lachnospiraceae
Flavonifractor_plautii,Oscillospiraceae
Eubacterium_ventriosum,Eubacteriaceae
Streptococcus_infantis,Streptococcaceae
Ruminococcus_albus,Oscillospiraceae
Clostridium_symbiosum,Lachnospirales
Ruminococcus_bromii,Oscillospiraceae
Bifidobacterium_catenulatum,Bifidobacteriaceae
Bacteroides_plebeius,Bacteroidaceae
Streptococcus_australis,Streptococcaceae
Bacteroides_oleiciplenus,Bacteroidaceae
Bacteroides_eggerthii,Bacteroidaceae
Clostridium_bartlettii,Peptostreptococcaceae
Subdoligranulum_variabile,Oscillospiraceae
Candidatus_Zinderia_insecticola,Oxalobacteraceae
Megamonas_hypermegale,Selenomonadaceae
Megamonas_rupellensis,Selenomonadaceae
Bacteroides_finegoldii,Bacteroidaceae
Roseburia_intestinalis,Lachnospiraceae
Ruminococcus_lactaris,Lachnospiraceae
Megamonas_funiformis,Selenomonadaceae
Coprobacter_fastidiosus,Barnesiellaceae
Desulfovibrio_piger,Desulfovibrionaceae
Citrobacter_freundii,Citrobacter
Ruminococcaceae_bacterium_D16,Eubacteriales
Clostridiaceae_bacterium_JC118,Eubacteriales
Veillonella_parvula,Veillonellaceae
Acidaminococcus_intestini,Acidaminococcaceae
Streptococcus_vestibularis,Streptococcaceae
Parabacteroides_johnsonii,Tannerellaceae
Enterobacter_cloacae,Enterobacter
Pseudoflavonifractor_capillosus,Oscillospiraceae
Streptococcus_anginosus,Streptococcus
Veillonella_dispar,Veillonellaceae
Coprococcus_eutactus,Lachnospiraceae
Veillonella_atypica,Veillonellaceae
Bacteroides_salyersiae,Bacteroidaceae
Streptococcus_infantarius,Streptococcaceae
Bacteroides_coprocola,Bacteroidaceae
Weissella_confusa,Lactobacillaceae
Bacteroides_clarus,Bacteroidaceae
Ruminococcus_callidus,Oscillospiraceae
Streptococcus_thermophilus,Streptococcaceae
Dialister_invisus,Veillonellaceae
Helicobacter_pullorum,Helicobacteraceae
Streptococcus_tigurinus,Streptococcaceae
Weissella_cibaria,Lactobacillaceae
